"REGIONE";"COLLEGIO";"PROVINCIA";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"TORCEGNO";"497";;"433";"208";"16";"SVP - INSIEME PER LE AUTONOMIE";"219"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"TRAMBILENO";"1025";;"848";"413";"21";"SVP - INSIEME PER LE AUTONOMIE";"341"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"TRANSACQUA";"1490";;"1242";"596";"25";"SVP - INSIEME PER LE AUTONOMIE";"494"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"TRENTO";"79461";;"66414";"31226";"1411";"SVP - INSIEME PER LE AUTONOMIE";"24569"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"TRES";"455";;"391";"203";"19";"SVP - INSIEME PER LE AUTONOMIE";"158"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"TUENNO";"1632";;"1400";"701";"37";"SVP - INSIEME PER LE AUTONOMIE";"598"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"VALDA";"146";;"120";"62";"3";"SVP - INSIEME PER LE AUTONOMIE";"57"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"VALFLORIANA";"417";;"307";"167";"9";"SVP - INSIEME PER LE AUTONOMIE";"154"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"VALLARSA";"1037";;"878";"460";"18";"SVP - INSIEME PER LE AUTONOMIE";"434"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"VARENA";"609";;"457";"227";"14";"SVP - INSIEME PER LE AUTONOMIE";"132"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"VATTARO";"788";;"676";"332";"10";"SVP - INSIEME PER LE AUTONOMIE";"292"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"VERMIGLIO";"1348";;"1135";"560";"47";"SVP - INSIEME PER LE AUTONOMIE";"331"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"VERVO'";"472";;"416";"212";"13";"SVP - INSIEME PER LE AUTONOMIE";"151"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"VEZZANO";"1514";;"1297";"650";"36";"SVP - INSIEME PER LE AUTONOMIE";"493"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"VIGNOLA-FALESINA";"96";;"66";"39";"1";"SVP - INSIEME PER LE AUTONOMIE";"19"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"VIGO DI FASSA";"741";;"646";"331";"24";"SVP - INSIEME PER LE AUTONOMIE";"184"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"VIGOLO VATTARO";"1469";;"1259";"640";"35";"SVP - INSIEME PER LE AUTONOMIE";"529"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"VIGO RENDENA";"331";;"291";"136";"9";"SVP - INSIEME PER LE AUTONOMIE";"83"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"VILLA AGNEDO";"614";;"525";"263";"11";"SVP - INSIEME PER LE AUTONOMIE";"240"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"VILLA LAGARINA";"2527";;"2219";"1082";"49";"SVP - INSIEME PER LE AUTONOMIE";"945"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"VILLA RENDENA";"613";;"503";"248";"14";"SVP - INSIEME PER LE AUTONOMIE";"185"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"DAMBEL";"295";;"246";"131";"6";"SVP - INSIEME PER LE AUTONOMIE";"114"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"DAONE";"461";;"365";"179";"11";"SVP - INSIEME PER LE AUTONOMIE";"117"
