"REGIONE";"LISTA";"VOTILISTA";"SEGGILISTA"
"MOLISE";"PARTITO REPUBBLICANO ITALIANO - ALA";86,00;0,00
"CAMPANIA";"LEGA";123006,00;1,00
"CAMPANIA";"FORZA ITALIA";530333,00;4,00
"CAMPANIA";"FRATELLI D'ITALIA CON GIORGIA MELONI";88816,00;1,00
"CAMPANIA";"NOI CON L'ITALIA - UDC";35704,00;0,00
"CAMPANIA";"MOVIMENTO 5 STELLE";1306465,00;9,00
"CAMPANIA";"PARTITO DEMOCRATICO";369151,00;3,00
"CAMPANIA";"+EUROPA";29537,00;0,00
"CAMPANIA";"ITALIA EUROPA INSIEME";14821,00;0,00
"CAMPANIA";"CIVICA POPOLARE LORENZIN";20177,00;0,00
"CAMPANIA";"LIBERI E UGUALI";68919,00;0,00
"CAMPANIA";"POTERE AL POPOLO!";36957,00;0,00
"CAMPANIA";"CASAPOUND ITALIA";13315,00;0,00
"CAMPANIA";"IL POPOLO DELLA FAMIGLIA";15529,00;0,00
